location_name,latitude,longitude
Mumbai Central,18.9712,72.8197
Bandra,19.0596,72.8295
Andheri,19.1136,72.8697
Thane,19.2183,72.9781
Navi Mumbai,19.033,73.0297
Dadar,19.0178,72.8478
Churchgate,18.9322,72.8264
Colaba,18.9067,72.8147
Borivali,19.2307,72.8567
Kandivali,19.2047,72.8521
Malad,19.1874,72.8484
Goregaon,19.1663,72.8526
Jogeshwari,19.1358,72.8499
Vile Parle,19.0968,72.8494
Santacruz,19.0827,72.8415
Kurla,19.0726,72.8845
Ghatkopar,19.0858,72.908
Mulund,19.1726,72.9563
Powai,19.1176,72.906
Chembur,19.0522,72.8994
